book_id,title,price_gbp,price_inr,rating,in_stock,category_name
59,"Pop Gun War, Volume 1: Gift",18.97,2001.33,1,1,Sequential Art
60,Patience,10.16,1071.88,3,1,Sequential Art
61,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,1628.92,4,1,Sequential Art
62,orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,5107.25,1,1,Sequential Art
63,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,4949.0,2,1,Sequential Art
64,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,4811.85,3,1,Sequential Art
65,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2101.56,2,1,Sequential Art
66,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,3077.44,2,1,Sequential Art
67,I am a Hero Omnibus Volume 1,54.63,5763.46,3,1,Sequential Art
68,"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2332.6,2,1,Sequential Art
69,Danganronpa Volume 1,51.99,5484.95,4,1,Sequential Art
70,"Codename Baboushka, Volume 1: The Conclave of Death",36.72,3873.96,4,1,Sequential Art
71,Camp Midnight,17.08,1801.94,4,1,Sequential Art
